year,SSH_obs,SSH_mixed
1993,0.968,0.968
1994,0.928,0.928
1995,0.987,0.987
1996,1.018,1.018
1997,0.932,0.932
1998,1.019,1.019
1999,1.026,1.026
2000,1.038,1.038
2001,1.021,1.021
2002,0.980,0.980
2003,0.985,0.985
2004,0.993,0.993
2005,1.004,1.004
2006,0.982,0.982
2007,0.993,0.993
2008,1.053,1.053
2009,1.044,1.044
2010,1.084,1.084
2011,1.049,1.049
2012,1.047,1.047
2013,1.073,1.073
2014,1.034,1.034
2015,1.003,1.003
2016,1.092,1.092
2017,1.073,1.073
2018,1.041,1.041
2019,     ,1.112
2020,     ,1.093
2021,     ,1.073
2022,     ,1.093
2023,     ,1.162
2024,     ,1.113
2025,     ,1.110
2026,     ,1.133
2027,     ,1.174
2028,     ,1.210
2029,     ,1.189
2030,     ,1.173
2031,     ,1.144
2032,     ,1.154
2033,     ,1.211
2034,     ,1.279
2035,     ,1.250
2036,     ,1.243
2037,     ,1.212
2038,     ,1.200
2039,     ,1.253
2040,     ,1.319
